wafer_id,lot_id,product,process_step,tool_id,chamber_id,recipe_id,event_time,metrology_x1,metrology_x2,metrology_x3,vm_x1,vm_x2,sensor_mean_1,sensor_std_1,sensor_max_1,sensor_slope_1
W000000,LOT00000,P4,STEP_2,TOOL_B,CH1,R3,2026-02-10 01:07:00,12.049377265370103,4.554562929906802,19.522681438038504,96.62769915617011,49.565733815694976,0.8380708618070578,0.20771793991842066,1.1015009425285829,-0.045660983771538946
W000001,LOT00000,P5,STEP_1,TOOL_B,CH2,R3,2026-02-10 01:13:00,10.752167631440239,5.651913386928171,21.05753527141927,101.04651629070773,52.19824207310175,1.0064588227738647,0.1987559718932034,1.6060749533673617,0.011064004775190718
W000002,LOT00000,P4,STEP_3,TOOL_A,CH2,R1,2026-02-10 02:08:00,9.300450086034749,5.26472457812481,21.256115685484453,101.32925443395835,48.208153747605415,1.1067009394952703,0.216013413233658,1.7117943784062817,-0.09834768384833459
W000003,LOT00000,P3,STEP_2,TOOL_A,CH3,R1,2026-02-10 02:18:00,8.499897721782347,4.434037774677139,19.95981873766476,100.22185391103665,51.93658861858747,1.0707308788542338,0.21991837041624038,1.5185525421795918,-0.06163910641760764
W000004,LOT00000,P3,STEP_4,TOOL_B,CH2,R1,2026-02-10 02:39:00,10.46683800198927,4.735461649268294,17.80812773300654,97.6462472914534,49.435162193685265,1.1491993330748609,0.24610588797405275,1.676641837615089,-0.08237519145588812
W000005,LOT00000,P2,STEP_3,TOOL_B,CH1,R2,2026-02-10 03:35:00,10.044130870121554,4.726769692735688,18.402447562873956,99.55110328892131,47.104013188078945,0.9325484545270426,0.24591041258021817,1.4763662496750536,0.005771462982196907
W000006,LOT00000,P2,STEP_4,TOOL_B,CH2,R2,2026-02-10 04:59:00,8.671061833053832,5.079938360651165,22.296305301858432,97.14984752187286,51.18647340122975,1.0850809387373355,0.22596816364229735,1.6321298839506595,0.10810896391349215
W000007,LOT00000,P4,STEP_2,TOOL_A,CH2,R1,2026-02-10 05:50:00,10.478586165711583,4.898011550993755,22.5026159916441,102.42753307767681,52.79508723722877,0.8897367381487862,0.2755086410826906,1.5622965881022481,-0.06304939224373918
W000008,LOT00000,P1,STEP_1,TOOL_B,CH3,R2,2026-02-10 08:24:00,9.73097283968848,4.4272555433091085,19.584865270321625,101.71464078249464,49.18679625736807,1.0709258645727895,0.2013378529819428,1.6126056785848126,0.04081648539291457
W000009,LOT00000,P1,STEP_1,TOOL_A,CH2,R1,2026-02-10 08:39:00,10.53066492552747,4.302870426888712,20.522110788120177,99.93579270070632,53.12552350048692,1.1644187278990439,0.16942161503512104,1.6286530151501433,-0.028193818394557726
W000010,LOT00000,P2,STEP_2,TOOL_A,CH2,R3,2026-02-10 09:18:00,10.541740214580907,5.27451166719893,22.394527642659288,98.29494558491491,46.688118171356905,1.0498381503112115,0.17759774739560874,1.5926297666751845,-0.06600864181909082
W000011,LOT00000,P4,STEP_2,TOOL_B,CH3,R3,2026-02-10 09:43:00,9.441735978456162,5.1431184322820815,16.591462255933404,106.32195369934605,47.60641352644728,1.166181161694374,0.194708257652888,1.623186360957,0.07820644174696001
W000012,LOT00000,P4,STEP_4,TOOL_B,CH2,R3,2026-02-10 09:58:00,10.682844764424205,5.052768778602516,19.107295138322286,96.09380804153999,49.70654791649572,0.9401268001924015,0.1458182459483544,1.3335714003006813,0.10799221754418652
W000013,LOT00000,P3,STEP_2,TOOL_B,CH3,R1,2026-02-10 10:14:00,9.402094917365101,5.135365929480231,24.035742762965288,95.36616070941747,49.25847222814461,0.9865768934486622,0.1693316219423438,1.6085509274746297,0.020593126114642403
W000014,LOT00000,P3,STEP_4,TOOL_C,CH3,R3,2026-02-10 10:29:00,9.46711812681903,4.690540426237482,20.598615432406636,99.75398205811594,48.66573322788155,0.9084316304826239,0.14300811857990872,1.461847679260135,0.018125531924323576
W000015,LOT00000,P1,STEP_1,TOOL_C,CH3,R2,2026-02-10 11:43:00,9.467728593378622,5.091996178887572,17.74156783059313,99.22585802028728,50.267355437636446,1.003478984845543,0.2171980130817484,1.3173170315000946,0.003113529758318449
W000016,LOT00000,P2,STEP_2,TOOL_B,CH3,R3,2026-02-10 11:49:00,11.23097442780627,6.269252782492134,20.23456458714743,103.29274736426315,48.94281908433929,1.026967382043809,0.21769105495640742,1.4586008351853086,-0.007412321493198825
W000017,LOT00000,P1,STEP_4,TOOL_C,CH2,R3,2026-02-10 15:47:00,9.719427611945639,5.587283560373572,22.04287118453655,101.93834936484002,49.28205067239453,1.0026035062632395,0.1115542486603818,1.5783676048221136,0.01700393634810197
W000018,LOT00000,P4,STEP_1,TOOL_A,CH1,R2,2026-02-10 15:54:00,11.422443180564253,4.8557957745200815,14.906934125342836,100.08857676094613,50.55685014070074,0.9525861052694083,0.16729589283788554,1.2962036467119438,0.03380592088575071
W000019,LOT00000,P4,STEP_2,TOOL_C,CH2,R1,2026-02-10 16:09:00,11.833484870186862,4.73831412644938,20.352571634382187,101.50101334845841,48.66492623505728,0.9509284239293635,0.2912594422960131,1.3756351046790716,0.08316703168247619
W000020,LOT00000,P2,STEP_4,TOOL_B,CH1,R3,2026-02-10 16:12:00,9.36128086314555,3.569780301254217,19.255170890815023,101.44649724474897,49.78796367736205,1.0345170591983373,0.23148900039047524,1.8006680210116404,-0.02613666459251985
W000021,LOT00000,P2,STEP_3,TOOL_C,CH2,R2,2026-02-10 18:36:00,7.179004685303067,5.534347076492349,16.716003747126106,106.31067016054585,48.70892190728082,0.9840713069649836,0.22271682515225977,1.4509629183444754,0.006369327555695545
W000022,LOT00000,P2,STEP_4,TOOL_C,CH3,R3,2026-02-10 20:00:00,11.144509543271273,5.393302676887407,20.163854510260617,100.7600901714863,47.58875916647994,0.884819699483113,0.16678733713834948,1.4930890782913488,-0.0044226077948685254
W000023,LOT00000,P5,STEP_3,TOOL_C,CH2,R3,2026-02-10 23:10:00,9.608028102639858,4.728086015361754,19.727039536479104,97.95676860196151,51.52740434934741,0.8102713954026893,0.21436412770196164,1.4603180952282995,0.05120310024394346
W000024,LOT00000,P3,STEP_4,TOOL_C,CH1,R1,2026-02-10 23:37:00,9.033813586868009,4.284146158561436,19.951819495604724,100.59550329948463,53.41558888168403,0.9404511513069123,0.19927450408059716,1.3496014083629029,0.12000403791738093
W000025,LOT00001,P4,STEP_4,TOOL_A,CH1,R3,2026-02-10 23:47:00,9.461281893847033,4.422366278405137,19.303478759510476,92.14396176018927,52.12914399014783,0.8617731263283538,0.16016268210177542,1.388409655108049,0.052928222514581014
W000026,LOT00001,P3,STEP_4,TOOL_A,CH3,R1,2026-02-11 00:09:00,9.48518617863397,5.222198931239712,17.95732489609172,99.90205737573892,50.66343216372263,0.9164430011470599,0.17531052574633035,1.6223250433241923,0.03991219552794449
W000027,LOT00001,P4,STEP_1,TOOL_B,CH3,R1,2026-02-11 01:30:00,11.347193090693741,4.955329633168743,17.090394332803506,103.27894741331797,48.716943114528064,0.9576694749006062,0.17643732906307258,1.5036219485480644,0.04539372034012977
W000028,LOT00001,P3,STEP_3,TOOL_B,CH2,R1,2026-02-11 02:01:00,10.059911239317515,5.3457960088036405,18.61862011945075,101.80655235661126,49.42616255163452,0.9853900827109467,0.12556633694969704,1.7219419517700745,0.063371134747932
W000029,LOT00001,P2,STEP_1,TOOL_A,CH3,R3,2026-02-11 02:13:00,11.383598630108136,5.043221569184092,21.718504228152128,100.89566813093703,52.11404252093466,0.9333994168085743,0.13382163671015757,1.3697102551275155,0.12072236395390201
W000030,LOT00001,P5,STEP_1,TOOL_C,CH3,R1,2026-02-11 02:34:00,10.444220119278494,5.483379416058242,20.46614058745349,101.94771746671148,45.43702646595317,1.21912011081615,0.19002656084631722,1.8988298185684034,-0.08426926242082593
W000031,LOT00001,P4,STEP_2,TOOL_A,CH2,R3,2026-02-11 02:46:00,9.740769276049516,5.184787570196123,19.86165334110682,103.30976963463314,49.2734795512123,0.8738896966402033,0.1576000954308458,1.3755570954708878,0.029979747002159347
W000032,LOT00001,P4,STEP_3,TOOL_C,CH1,R1,2026-02-11 02:56:00,9.659642796790743,5.4143976900803406,17.92046370185702,104.27570022189457,51.46823183948853,1.12092124579404,0.1849540931768638,1.588173239093241,-0.1290604822380273
W000033,LOT00001,P5,STEP_2,TOOL_A,CH3,R2,2026-02-11 05:45:00,10.5116087507496,3.9551582945390313,19.25217013429158,101.34236770086838,47.72343923563099,0.983743199030719,0.11971735791884053,1.5477472681859985,0.0475676751508229
W000034,LOT00001,P2,STEP_4,TOOL_B,CH2,R1,2026-02-11 06:06:00,10.920425629332708,4.38282721475127,21.474315116714425,99.05166569646192,50.84677656849107,0.9342473608659407,0.24006630035387827,1.4231015145904649,0.02755189771759807
W000035,LOT00001,P1,STEP_2,TOOL_C,CH3,R2,2026-02-11 06:30:00,10.99679268570087,4.817824165056186,21.009567524970983,93.05943402832068,50.75397854153138,1.058757601039127,0.3040239720760183,1.5503007242021705,-0.0273413485427048
