wafer_id,eds_item_001_fail_rate,eds_item_002_fail_rate,eds_item_003_fail_rate,total_fail_rate,yield
W000000,0.06853492681396929,0.02653545505581089,0.02653545505581089,0.13467674703721286,0.8653232529627871
W000001,0.025142652041592984,0.019485090583728795,0.03163816153798246,0.07523608533076183,0.9247639146692381
W000002,0.030381375744430214,0.025487674923142307,0.025487674923142307,0.09766712241176297,0.902332877588237
W000003,0.03403962036664934,0.011536551915511395,0.011536551915511395,0.04372237197140661,0.9562776280285934
W000004,0.023793206323918223,0.021613829122904882,0.021613829122904882,0.07024852281553776,0.9297514771844623
W000005,0.022999869125824565,0.02298039378884771,0.02298039378884771,0.07492144428121542,0.9250785557187846
W000006,0.03697134966857676,0.01931058315291434,0.01931058315291434,0.07421368228023413,0.9257863177197658
W000007,0.019596179887779973,0.017305732707674826,0.017305732707674826,0.048819110718479275,0.9511808892815208
W000008,0.019954333874037885,0.019230577744185084,0.019230577744185084,0.056876644850778216,0.9431233551492217
W000009,0.02652837850948327,0.02371232587763252,0.02371232587763252,0.08959861841496554,0.9104013815850345
W000010,0.01688215824949622,0.013947333648554553,0.013947333648554553,0.035163400359275,0.964836599640725
W000011,0.02661903619954015,0.023502449022037162,0.023502449022037162,0.0806288322876888,0.9193711677123112
W000012,0.02625459825336842,0.02159182853035294,0.02159182853035294,0.07262191237478018,0.9273780876252198
W000013,0.022270942569906853,0.018696037691500397,0.018696037691500397,0.05705509333590844,0.9429449066640916
W000014,0.021749317629250947,0.01890968672160235,0.01890968672160235,0.057388064515660336,0.9426119354843396
W000015,0.023142429364986387,0.020309300861919382,0.020309300861919382,0.06437963281266391,0.9356203671873361
W000016,0.04344607827740413,0.02829309785827438,0.08983332045764511,0.17815869230987239,0.8218413076901276
W000017,0.02252722087225613,0.021740012222870857,0.0287226970527566,0.07646995459362531,0.9235300454063747
W000018,0.03551998524712312,0.015286539227785646,0.015286539227785646,0.0566661421582657,0.9433338578417343
W000019,0.05144017687325291,0.017823509181211592,0.017823509181211592,0.08273421359809928,0.9172657864019007
W000020,0.0183567305442226,0.014277109186381668,0.014277109186381668,0.03546516728974927,0.9645348327102508
W000021,0.090131204223043,0.010551058567622491,0.013298824687010396,0.09508320461292086,0.9049167953870791
W000022,0.027288332063517225,0.01418931111712705,0.01418931111712705,0.04404557653202543,0.9559544234679745
W000023,0.022136801497364685,0.02060038181416359,0.02060038181416359,0.06453832875401905,0.9354616712459809
W000024,0.035704949086621106,0.026369787237412474,0.026369787237412474,0.101184098036271,0.898815901963729
W000025,0.027881038972837297,0.11925905819292056,0.024978866993866908,0.18207669814735855,0.8179233018526415
W000026,0.016874028778257246,0.014223696071562306,0.014223696071562306,0.03376881306450647,0.9662311869354935
W000027,0.03416104211135804,0.0160117498752285,0.0160117498752285,0.05820804161227205,0.941791958387728
W000028,0.015342474199816287,0.01530658063385068,0.01530658063385068,0.036568796735219004,0.963431203264781
W000029,0.02623540446460446,0.007091952772233366,0.007091952772233366,0.014603215553537927,0.9853967844464621
W000030,0.021135110381014323,0.019161795237296327,0.019161795237296327,0.05778229133019963,0.9422177086698004
W000031,0.024688280456703442,0.02401627477430452,0.02401627477430452,0.08075337955392153,0.9192466204460785
W000032,0.019896478322681207,0.018738048064916937,0.018738048064916937,0.05484867058234895,0.945151329417651
W000033,0.016278352380323116,0.013660917241887451,0.013660917241887451,0.030922021347872915,0.9690779786521271
W000034,0.024246092145639643,0.015774258754314516,0.015774258754314516,0.04734312716289771,0.9526568728371023
W000035,0.02829172258475745,0.10805859586048652,0.018355766002089925,0.15141761645151375,0.8485823835484863
W000036,0.025158201031823944,0.023851100079746057,0.027033851475755766,0.0837453527468179,0.9162546472531821
W000037,0.01984329282453988,0.019085910190546687,0.0543070992332563,0.09140812262943623,0.9085918773705638
W000038,0.025517497710036648,0.023174546532116005,0.023174546532116005,0.07821568383850067,0.9217843161614994
W000039,0.020399654667887072,0.019593293308333846,0.019593293308333846,0.05877282790122246,0.9412271720987775
W000040,0.031894953640834826,0.02118394490515809,0.02118394490515809,0.07663073326146719,0.9233692667385328
W000041,0.020287342520629564,0.015299154324024004,0.015299154324024004,0.04148395981672558,0.9585160401832744
W000042,0.01676968594195273,0.016570775981405668,0.016570775981405668,0.04305278986757541,0.9569472101324246
W000043,0.018793341762105786,0.013720951670542115,0.09205433844486834,0.11201053521860047,0.8879894647813995
W000044,0.036440565419278086,0.023008277066852257,0.023008277066852257,0.08847367368668711,0.9115263263133129
W000045,0.03974480909150319,0.01854407435086439,0.06275507822529096,0.12192770567612857,0.8780722943238715
W000046,0.005580057073176048,0.002011846416505928,0.002011846416505928,0.0,1.0
W000047,0.024502152749159258,0.0224057720869893,0.0224057720869893,0.07412524109711645,0.9258747589028835
W000048,0.031186457993884142,0.024870706379501367,0.024870706379501367,0.09185395351584846,0.9081460464841515
W000049,0.017774233589091294,0.015941447283985014,0.015941447283985014,0.04154002272503134,0.9584599772749687
W000050,0.02520758829543831,0.022401424828549305,0.022401424828549305,0.07755245383284408,0.922447546167156
W000051,0.03888859180671847,0.01895136142744515,0.01895136142744515,0.07469403751649907,0.9253059624835009
W000052,0.012814538616485101,0.009410897653173876,0.009410897653173876,0.010458129229180605,0.9895418707708193
W000053,0.02980253646235529,0.029764837998742154,0.029764837998742154,0.10886188845732392,0.8911381115426761
W000054,0.023938195963052075,0.01898140185025786,0.01898140185025786,0.059863803364083513,0.9401361966359165
W000055,0.02196506344506337,0.02100707908377032,0.02100707908377032,0.06599337978014465,0.9340066202198554
W000056,0.02957823356995772,0.01687704495622471,0.01687704495622471,0.05708641339485656,0.9429135866051435
W000057,0.02764043922107606,0.018522349144269784,0.018522349144269784,0.0617298357981552,0.9382701642018448
W000058,0.027075561728534907,0.020808312013344103,0.020808312013344103,0.07030880978191131,0.9296911902180887
W000059,0.033073168559944445,0.014787301743176842,0.014787301743176842,0.052222375532651806,0.9477776244673481
W000060,0.02847569215474187,0.02846982356516671,0.02846982356516671,0.1023549864154087,0.8976450135845913
W000061,0.029371193387056235,0.024190733789720337,0.024190733789720337,0.08613412854593758,0.9138658714540624
W000062,0.025101692488941417,0.02258414269699788,0.02258414269699788,0.07543826327693294,0.9245617367230671
W000063,0.01930357368804818,0.01929108838219004,0.01929108838219004,0.05646792721680834,0.9435320727831916
W000064,0.01681043093332151,0.016193906407622017,0.053397687747358764,0.07878983790354634,0.9212101620964537
